"df_names","df_long","df_lat"
"สถานีบริการ NGV ปตท. ภาวดี กาญจนาภิเษก","100.40666","13.67138"
"Caltex","100.3220394","13.6814582"
"PT gasoline station","100.3802263","13.694546"
"PT Gas Station","100.305212","13.845478"
"มงคลแก๊ส","100.4054215","13.6152007"
"เอสโซ่ หจก. สหชัชวาล เซอร์วิส","100.2994985","13.7862363"
"PTT NGV Service Station","100.2853381","13.7857994"
"PTT","100.2879922","13.5703127"
"PTT","100.2611664","13.547268"
"ปตท.","100.2779735","13.5923521"
"PT Gas Station & LPG","100.29343","13.625172"
"PTT Petrol Station","100.2210506","13.5362038"
"Gas station PTT economic road km 16.","100.2798701","13.5883919"
"Service stations","100.10464","13.46699"
"Ngv gas station","99.8265684","13.305598"
"TAC Industrial Gas Co., Ltd.","100.254364","13.569323"
"28 Car Wash","100.2932178","13.5313449"
"PTT","100.1441614","13.5122864"
"PTT Gas Station ปตท.ท่าจีนรุ่งเรืองปิโตรเลียม จำกัด","100.237731","13.542906"
"PTT gas station","99.9721554","13.4169886"
"PTT","100.2926103","13.5308263"
"KFC ปตท.เศรษฐกิจ กม.16","100.2801689","13.5882038"
"Esso (Sahatel Vanich Limited Partnership)","100.1117644","13.5755078"
"Shell บจก. พรวิษณุออยล์ (สาขา 1)","100.2871852","13.6103814"
"Gas station","99.9163329","13.390198"
"ปั๊มน้ำมันบางจาก - บางกระเจ้า","100.1912277","13.5273854"
"Gas station","99.9111181","13.3891278"
"Esso fuel pump","100.4090954","13.776016"
"Bangchak Gas Station Kanchanapisek (1)","100.4053104","13.7201448"
"PTT Gas Station","100.393579","13.6252112"
"PT Gas Station","100.4216044","13.6848189"
"ปตท.","100.4057504","13.6376667"
"PTT Gas Station","100.4141532","13.8331345"
"ปั๊มน้ำมัน พีที บางใหญ่","100.4098855","13.8686671"
"Esso Wattana พระราม 2","100.291601","13.571177"
"PT Gas Station","100.4053754","13.6704493"
"PTT NGV Service Station","100.3940105","13.656496"
"Esso","100.3528674","13.7067217"
"Caltex","100.4122733","13.8126733"
"PTT NGV Service Station","100.3300452","13.7478475"
"Gas Station","100.2410976","13.7445573"
"ปั๊ม<U+200B>น้ำมันพีทีพุทธมณฑล<U+200B>สาย3","100.3642826","13.7419"
"สถานีบริการ NGV ปตท. ภาวดี กาญจนาภิเษก","100.40666","13.67138"
"Caltex","100.3220394","13.6814582"
"PT gasoline station","100.3802263","13.694546"
"PT Gas Station","100.305212","13.845478"
"เอสโซ่ หจก. สหชัชวาล เซอร์วิส","100.2994985","13.7862363"
"Gas Station","100.2410976","13.7445573"
"Esso Wattana พระราม 2","100.291601","13.571177"
"PTT","100.37025","13.707261"
"PTT NGV Service Station","100.3300452","13.7478475"
"ปั๊ม<U+200B>น้ำมันพีทีพุทธมณฑล<U+200B>สาย3","100.3642826","13.7419"
"Caltex","100.3220394","13.6814582"
"เอสโซ่ หจก. สหชัชวาล เซอร์วิส","100.2994985","13.7862363"
"Shell","100.330635","13.717331"
"PTT NGV Service Station","100.2853381","13.7857994"
"PTT","100.3194404","13.5847373"
"Esso สาขาหนองแขม","100.3530706","13.7058601"
"PTT","100.2611664","13.547268"
"คาลเท็กซ์ สาขาซี. เอ. เอส. แอสเซท","100.3406924","13.5677677"
"ปตท. LPG","100.269782","13.7851286"
"Hong Thong Auto Gas","100.2393135","13.7401348"
"PTT Station สาขาถนนพระราม2 (ขาเข้า)","100.3380018","13.5933984"
"ปตท.","100.2779735","13.5923521"
"Shell ปั๊มน้ำมันเชลล์ นทีบริการ","100.047791","13.807169"
"PT Gas Station","100.2535835","13.7085981"
"Sam Phran Auto Service","100.2455023","13.734674"
"shell gas station(Phu Thong Service)","98.5329223","8.4206075"
"PTT Gas Station Kalapapruek Limited Partnership","98.5194921","8.4311219"
"Renu Service Shop","98.803264","8.353757"
"PTT ดับเบิ้ล เอส ปิโตร เซอร์วิส","98.8082366","8.2242115"
"Gas Prarop Shop","98.7707559","8.6253417"
"PTT petrol station, Khao Ni Pan, Wiengsra, Suratthani","99.3520098","8.5855034"
"PTT petrol station at Rick.","99.1679557","8.8245256"
"Gas Monreuthai Shop","98.765016","8.628545"
"Esso (Ao Luek Oil Service Company Limited)","98.7418298","8.386412"
"PTT ราชพฤกษ์ พังงา","98.5080636","8.4299611"
"Tin Kha Gas Shop","98.746723","8.295689"
