"names","long","lat","Label","inout"
"PTT",102.8204807,16.4196443,"PTT",1
"สน.ปตท. สาขาสวัสดิการมหาวิทยาลัยขอนแก่น",102.8142519,16.4786214,"PTT",1
"PTT",102.804814,16.671476,"PTT",1
"PTT",102.8007909,17.543652,"PTT",1
"PTT",102.7917975,16.4455524,"PTT",1
"PTT Gas Station",102.7898393,17.9070395,"PTT",1
"PTT Petrol Station",102.787324,16.437405,"PTT",1
"PTT petrol station.",102.7679633,17.7678377,"PTT",1
"PTT",102.7612312,17.8052393,"PTT",1
"สน.ปตท. อำเภอเมืองหนองคาย (หจก.ตันเอี๊ยฮวด)",102.756518,17.88628,"PTT",1
"PTT (Smanchai Service Limited Partnership)",102.7498643,17.8602283,"PTT",1
"PTT Gas Station",102.7273624,17.859515,"PTT",1
"PTT",102.594783,17.95537,"PTT",1
"PTT gas station.",102.5631791,12.5372294,"PTT",1
"PTT (Yen Cham)",102.5427151,12.5592618,"PTT",1
"PTT gas station.",102.5409297,13.6600192,"PTT",1
"PTT",102.5297899,13.765278,"PTT",1
"PTT (Sahamit Paisan Company Limited)",102.5276681,13.7640925,"PTT",1
"PTT",102.5143413,16.8548861,"PTT",1
"สน.ปตท. หจก. ตราดเซอร์วิส(2002)",102.513395,12.247366,"PTT",1
"PTT",102.5133902,12.2473737,"PTT",1
"สน.ปตท. หจก. ไสวปิโตรเลียม",102.504824,12.226262,"PTT",1
"PTT",102.5047481,12.2262925,"PTT",1
"สน.ปตท.บจ.เติมเต็มปิโตรเลียม",102.502021,12.263156,"PTT",1
"PTT Station",102.5020015,12.2629889,"PTT",1
"สน.ปตท. สาขาอรัญประเทศ",102.499942,13.693724,"PTT",1
"PTT LPG Station แขวงการทางตราด",102.4774247,12.2975229,"PTT",1
"PTT Gasolin station",102.4760377,12.3018549,"PTT",1
"PTT Petrol Station",102.4758446,12.3022948,"PTT",1
"PTT gas station.",102.4408065,12.5118921,"PTT",1
"PTT",102.433465,17.1870795,"PTT",1
"PTT gas station.",102.4325494,12.4454203,"PTT",1
"PTT gas station.",102.4054582,12.404518,"PTT",1
"ปตท.ภูเวียง2",102.3885139,16.6344935,"PTT",1
"PTT gas station",102.3847756,16.6418646,"PTT",1
"Toilet at PTT",102.3788533,12.3791116,"PTT",1
"PTT Life Station",102.378431,12.37878,"PTT",1
"PTT",102.3761454,12.193793,"PTT",1
"PTT gas station.",102.3727329,12.5178144,"PTT",1
"PTT petrol station.",102.356548,16.4096338,"PTT",1
"PTT",102.3450229,12.3031957,"PTT",1
"PTT gas station.",102.3338379,13.5792443,"PTT",1
"PTT (Thanachart Service)",102.3333834,12.2029947,"PTT",1
"PTT (S.P.T View Group Ltd.,Part.)",102.320885,13.7449399,"PTT",1
"PTT",102.3129498,13.2246787,"PTT",1
"PTT Life Station",102.304479,13.458041,"PTT",1
"PTT (Jirapat Service)",102.3043982,13.458064,"PTT",1
"PTT gas station.",102.2979357,13.4542464,"PTT",1
"PTT gas station.",102.2966178,13.2736615,"PTT",1
"Gas station",102.2909479,16.9793045,"PTT",1
"Press PTT Sriboonruang",102.2641479,16.9556304,"PTT",1
"ปั๊ม ปตท. / PTT Petrol Station.",102.263825,12.9031,"PTT",1
"PTT gas station.",102.2625375,13.5359831,"PTT",1
"PTT (Weerawan Petroleum Limited Partnership)",102.2545199,14.5257069,"PTT",1
"Pine. PTT LTD., Undercut petroleum.",102.2288072,13.1079626,"PTT",1
"PTT (Chuan Panit Limited Partnership)",102.228146,12.4609572,"PTT",1
"PTT",102.1920642,14.6652491,"PTT",1
"PTT (Wang Sombun Oil)",102.1892481,13.3585637,"PTT",1
"PTT",102.1828163,13.4371528,"PTT",1
"สน.ปตท. หจก. ตวงสิทธิ์เซอร์วิส",102.178244,13.508881,"PTT",1
"PTT gas station",102.1725082,14.9849883,"PTT",1
"PTT (Sonthi Suk)",102.1649916,16.7317104,"PTT",1
"PTT",102.156689,13.549083,"PTT",1
"PTT",102.1426559,12.5956281,"PTT",1
"PTT (Ekkasem Petroleum Limited Partnership)",102.1404037,12.5958462,"PTT",1
"PTT (Kho Rat Kwang Paisan Limited Partnership)",102.1389722,14.9659164,"PTT",1
"PTT NGV Service Station",102.1329403,14.9389799,"PTT",1
"PTT (Pongkit 2 Limited Partnership)",102.1328983,14.938997,"PTT",1
"PTT",102.1299782,15.0168551,"PTT",1
"PTT gas station.",102.12902,12.703979,"PTT",1
"PTT",102.127777,12.614493,"PTT",1
"PTT (C. P. G. Group Limited Partnership)",102.1237461,16.4695351,"PTT",1
"PTT",102.123394,16.5346481,"PTT",1
"PTT (Ekkasem Petroleum Limited Partnership)",102.1212945,12.6004779,"PTT",1
"PTT",102.1170269,14.98951,"PTT",1
"สน.ปตท. หจก. พงษ์กิต(2) เทคโน",102.117022,14.989327,"PTT",1
"PTT",102.1146437,12.6165684,"PTT",1
"PTT (P. S. Y. Service Company Limited)",102.1104577,16.5266643,"PTT",1
"PTT",102.1038236,16.5597746,"PTT",1
"PTT",102.1007042,12.6307039,"PTT",1
"PTT Gas Station, PR Petroleum",102.0964582,14.9897978,"PTT",1
"สน.ปตท. หจก. ธารไพศาลออโต้เซลส์",102.0959315,12.618277,"PTT",1
"PTT (Sing Amnuay 2 Limited Partnership)",102.0697401,12.4797107,"PTT",1
"PTT",102.0612603,12.659151,"PTT",1
"PTT บจก.ธนพล",102.0597227,14.9885405,"PTT",1
"PTT Gas Station",102.0567555,14.9313473,"PTT",1
"PTT NGV Service Station",102.034421,14.7480845,"PTT",1
"PTT NGV",102.02806,12.64844,"PTT",1
"PTT Gas Station",102.025141,14.761636,"PTT",1
"PTT",102.0150445,14.6745582,"PTT",1
"PTT (Turbo Service Oil Station)",102.0121613,16.5841153,"PTT",1
"PTT",101.99442,14.9266752,"PTT",1
"PTT Gas Station",101.9636111,14.9263889,"PTT",1
"PTT",101.9344448,16.8513965,"PTT",1
"PTT",101.9343043,14.7875473,"PTT",1
"PTT Gas Station",101.931271,14.911545,"PTT",1
"PTT Gas Station",101.9003046,14.2162753,"PTT",1
"PTT วังน้ำเขียว",101.863681,14.3721529,"PTT",1
"PTT รุ่งเรืองวังสะพุงปิโตรเลียม",101.783621,17.301581,"PTT",1
"PTT Gas Station",101.7714124,17.2817744,"PTT",1
"PTT NGV Service Station",101.7644584,17.3205232,"PTT",1
"PTT",101.7592274,17.2832259,"PTT",1
"PTT gas station.",101.7290801,17.4594695,"PTT",1
"สน.ปตท. บริษัท เลยปิโตรเลียม จำกัด",101.7267556,17.4873674,"PTT",1
"PTT",101.725033,17.5217205,"PTT",1
"PTT (Pramuan Petroleum Limited Partnership)",101.724493,17.510218,"PTT",1
"PTT",101.7098654,12.7767998,"PTT",1
"PTT (Chok Noparat Company Limited)",101.7094989,12.7135392,"PTT",1
"PTT gas station.",101.7072965,17.7005091,"PTT",1
"PTT",101.691575,12.782899,"PTT",1
"PTT",101.6855193,12.7846079,"PTT",1
"PTT gas station.",101.6751878,12.8447601,"PTT",1
"PTT",101.645826,12.792025,"PTT",1
"สน.ปตท. หจก. แหลมแม่พิมพ์ปิโตรเลียม",101.6385638,12.6565605,"PTT",1
"PTT",101.631366,12.76887,"PTT",1
"PTT Station",101.6311499,12.7685416,"PTT",1
"PTT Wangchan",101.5226502,12.9354899,"PTT",1
"PTT",101.5175752,12.6380875,"PTT",1
"PTT Life Station Wangchan Valley",101.44719,13.0215728,"PTT",1
"PTT Wang Chan",101.4470297,13.0214896,"PTT",1
"PTT",101.4434353,13.0012763,"PTT",1
"Khlong Dua service PTT gas stations",101.4395406,14.5172984,"PTT",1
"PTT",101.433581,14.66629,"PTT",1
"PTT gas station.",101.4259636,14.6389934,"PTT",1
"PTT Life Station",101.4233017,17.6271782,"PTT",1
"PTT (Witthaya Chai Petroleum Ltd.,Part)",101.4038282,14.6873908,"PTT",1
"สน.ปตท. บริษัท เลิศวรกมล จำกัด",101.375794,13.154524,"PTT",1
"PTT (Thai Lert Petroleum Limited Partnership)",101.3676253,17.4560217,"PTT",1
"PTT",101.3658004,12.6754092,"PTT",1
"PTT gas station.",101.3540804,12.7823677,"PTT",1
"สน.ปตท. หจก. โกมลประนอมบริการ",101.352592,12.644179,"PTT",1
"PTT NGV (Yok Panit Company Limited)",101.3341065,12.6544699,"PTT",1
"PTT",101.3321352,14.6588741,"PTT",1
"PTT",101.3277173,12.6584893,"PTT",1
"PTT (Wongpradit Pak Chong Limited Partnership)",101.3174164,14.6550831,"PTT",1
"PTT",101.3066925,14.1502294,"PTT",1
"PTT Supporn Energy Co., Ltd.",101.3066707,13.6095019,"PTT",1
"PTT BanLang",101.3057283,12.68991,"PTT",1
"ปั๊มน้ำมัน ปตท.หนองตะพาน (บ้านค่าย) PTT STATION",101.286699,12.7508875,"PTT",1
"PTT<U+200B> STATION บ้านค่าย",101.2864616,12.75089,"PTT",1
"PTT",101.284174,13.1628428,"PTT",1
"PTT (Samanpan Limited Partnership)",101.2697509,12.6824001,"PTT",1
"PTT NGV",101.2668235,12.6971766,"PTT",1
"PTT",101.2587282,17.3668563,"PTT",1
"ปั๊ม PTT สาริกา นครนายก",101.25379,14.2473023,"PTT",1
"PTT NGV Service Station",101.2424895,13.2125339,"PTT",1
"PTT (Lertworakamol Petroleum Limited Partnership)",101.242286,13.2123505,"PTT",1
"PTT",101.238146,14.63265,"PTT",1
"Ptt Jiffy",101.2372883,13.2383946,"PTT",1
"PTT Life Station",101.2372873,13.2383982,"PTT",1
"PTT (Prathuang Service Limited Partnership)",101.2135938,13.7414515,"PTT",1
"PTT Station",101.1901823,12.7552427,"PTT",1
"PTT gas station.",101.184708,13.6661311,"PTT",1
"PTT",101.164184,12.76169,"PTT",1
"PTT gas station หจก.เนรมิตรปิโตรเลียม (สาขา 1)",101.1539635,17.2737115,"PTT",1
"ปตท. ด่านซ้าย PTT Station Dansai",101.1539237,17.2739118,"PTT",1
"PTT(NGV)",101.1519931,12.722494,"PTT",1
"PTT Sukhumvit 4.",101.15108,12.72402,"PTT",1
"PTT",101.146357,17.292187,"PTT",1
"Enrich Sation : Nong Bon Branch",101.1436565,12.8080886,"PTT",1
"PTT",101.126109,12.737637,"PTT",1
"PTT",101.1225493,13.6601822,"PTT",1
"PTT (Thanee Service)",101.1185992,13.6612388,"PTT",1
"สน.ปตท. หจก. ฉะเชิงเทราทรายทองบริการ",101.112687,13.614267,"PTT",1
"PTT",101.0925463,14.6217876,"PTT",1
"PTT",101.076522,12.736166,"PTT",1
"PTT",101.0513509,13.6759834,"PTT",1
"PTT Station Jiffy",101.0144799,13.5918219,"PTT",1
"PTT Life Station",101.0088476,13.3949582,"PTT",1
"PTT Petrol Station",101.0064423,13.5416313,"PTT",1
"PTT",101.00032,13.150448,"PTT",1
"สน.ปตท. แหลมฉบังขาออก",100.9860757,13.1348094,"PTT",1
"PTT gas station KASEM PHON",100.983394,12.72923,"PTT",1
"PTT",100.9604124,13.3201943,"PTT",1
"PTT",100.9549604,13.3096946,"PTT",1
"PTT Petroleum Oil Co.Ltd",100.9524528,13.3175089,"PTT",1
"PTT",100.9357118,13.2756357,"PTT",1
"PTTstation",100.9322112,13.1821053,"PTT",1
"PTT",100.9179362,19.181089,"PTT",1
"PTT",100.9172753,13.1270607,"PTT",1
"สน.ปตท. หจก. วิจิตรธัญญาออยล์",100.904439,13.676392,"PTT",1
"PTT",100.8969193,12.9066133,"PTT",1
"PTT Sattahip Naval Base",100.892912,12.683376,"PTT",1
"PTT",100.8885894,12.9090555,"PTT",1
"PTT พุแค",100.8875086,14.6348386,"PTT",1
"PTT gas station",100.8802978,19.4152752,"PTT",1
"PTT (P. N. Service Limited Partnership)",100.8768976,17.9963439,"PTT",1
"PTT NGV Service Station",100.8694482,14.6892587,"PTT",1
"PTT",100.8435789,13.5859786,"PTT",1
"ปตท. ขุนโขลน-พระพุทธบาท",100.8267522,14.7118998,"PTT",1
"PTT GAS STATION",100.8262371,14.7129325,"PTT",1
"PTT",100.825901,13.590855,"PTT",1
"PTT (Sukhum Service Company Limited)",100.8122518,19.1210397,"PTT",1
"PTT (Nikhom Service Limited Partnership)",100.7996569,14.7239716,"PTT",1
"PTT. Tungpaibul Petroleum",100.7525284,14.6331006,"PTT",1
"PTT",100.7383778,14.5657929,"PTT",1
"PTT NGV",100.7232875,13.674405,"PTT",1
"PTT",100.708813,14.76799,"PTT",1
"PTT",100.7064925,13.6251798,"PTT",1
"PTT Gas Station, Lopburi Gas",100.6756381,14.7979787,"PTT",1
"PTT",100.6685444,14.7938275,"PTT",1
"PTT",100.66835,13.65658,"PTT",1
"PTT gas station.",100.6602839,14.8481063,"PTT",1
"PTT",100.6502473,13.7316471,"PTT",1
"PTT",100.6472429,13.8132646,"PTT",1
"PTT",100.647081,14.825085,"PTT",1
"ปั๊ม ptt. คุณ คมสัน",100.6470196,14.8281754,"PTT",1
"PTT (Cha-Um Niwat Company Limited)",100.6461535,13.6749785,"PTT",1
"PTT Gas Station",100.6429879,13.6576522,"PTT",1
"สน.ปตท. สน.เชื้อเพลิงเพื่อสวัสดิการรมณฑลทหารบกที่13",100.640688,14.806793,"PTT",1
"PTT Gas Station",100.63953,13.622101,"PTT",1
"สน.ปตท. หจก. ลพบุรีปิโตรเลียม",100.633683,14.801114,"PTT",1
"สน.ปตท. ศูนย์สงครามพิเศษ",100.6207779,14.8027578,"PTT",1
"PTT gas station.",100.6204031,14.8028267,"PTT",1
"PTT (105 Petroleum Company Limited)",100.6202974,13.6622726,"PTT",1
"PTT",100.620196,13.810006,"PTT",1
"PTT LPG Auto Station",100.6171649,13.6333221,"PTT",1
"PTT",100.6156053,13.6057916,"PTT",1
"PTT",100.6132865,13.7981569,"PTT",1
"PTT Thepharak Chaimongkol",100.611546,13.6362617,"PTT",1
"PTT",100.6114984,13.558949,"PTT",1
"PTT",100.6104544,14.7913548,"PTT",1
"PTT",100.6061494,13.5815252,"PTT",1
"PTT",100.6038416,13.5976905,"PTT",1
"PTT",100.6036204,13.7450942,"PTT",1
"PTT",100.5975211,13.7678418,"PTT",1
"PTT Gas Station",100.5924511,13.6137977,"PTT",1
"PTT Gas Station",100.591823,13.63732,"PTT",1
"PTT",100.591073,13.86675,"PTT",1
"PTT Station",100.589391,13.712443,"PTT",1
"PTT",100.588239,13.769581,"PTT",1
"PTT",100.5670471,13.7825822,"PTT",1
"PTT South Nana",100.5528372,13.7420309,"PTT",1
