Reference	Country	Site	Coordinate_origin	Lat	Lon	Elevation	Temperature	Rainfall	Clay	Field_type	Field_size	Crop_type	Species	Detailed_species_information	Planting_date	Harvest_year	Harvest_date	Age	Rotation	Density	Yield	Unit	Error	Error_type	Yield_type	Yield_type_Index	Yield_estimation	Yield_origin	Management	Irrigation	Irrigation_flag	Fertilization_flag	Fertilizing_frequency	Nitrogen	Phosphorus	Potassium	Calcium	Magnesium	Boron	Other_fertilization
Stape et al., 2010	Brazil	Aracruz, ES	reported site	-19.8166666667	-40.0833333333	12.0	23.6	2752.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		18.3	ton DM/ha/yr	0.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	77.0	54.0	89.0	585.0	40.0	1.0	
Stape et al., 2010	Brazil	Aracruz, ES	reported site	-19.8166666667	-40.0833333333	12.0	23.6	2752.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		19.1	ton DM/ha/yr	1.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	967.0	374.0	753.0	634.0	40.0	6.0	
Stape et al., 2010	Brazil	Aracruz, ES	reported site	-19.8166666667	-40.0833333333	12.0	23.6	2752.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		28.1	ton DM/ha/yr	1.2	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		701	yes	yes	total in the 6-year rotation	967.0	374.0	753.0	634.0	40.0	6.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		21.3	ton DM/ha/yr	1.8	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	no								
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		24.2	ton DM/ha/yr	2.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	86.0	40.0	171.0	705.0	120.0	3.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		24.9	ton DM/ha/yr	2.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	732.0	145.0	570.0	918.0	180.0	8.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		26.4	ton DM/ha/yr	2.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1116	yes	yes	total in the 6-year rotation	86.0	40.0	171.0	705.0	120.0	3.0	
Stape et al., 2010	Brazil	Guanhaes, MG	reported site	-18.5833333333	-42.9833333333	870.0	19.4	2555.0	65.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2004-4	2009		5.3	6.0		26.2	ton DM/ha/yr	2.8	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1116	yes	yes	total in the 6-year rotation	732.0	145.0	570.0	918.0	180.0	8.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		25.6	ton DM/ha/yr	1.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	33.0	44.0	27.0			2.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		26.5	ton DM/ha/yr	1.0	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	640.0	238.0	498.0	996.0	180.0	5.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		34.3	ton DM/ha/yr	1.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		796	yes	yes	total in the 6-year rotation	33.0	44.0	27.0			2.0	
Stape et al., 2010	Brazil	Mogi Guacu, SP	reported site	-22.35	-46.9666666667	312.0	21.6	3055.0	45.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-10	2009		6.0	6.0		31.7	ton DM/ha/yr	1.7	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		796	yes	yes	total in the 6-year rotation	640.0	238.0	498.0	996.0	180.0	5.0	
Stape et al., 2010	Brazil	Teixeira de. Freitas, BA	reported site	-18.0333333333	-39.8666666667	84.0	23.1	2921.0	21.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-12	2009		5.7	6.0		21.4	ton DM/ha/yr	0.4	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	52.0	44.0	66.0	112.0		2.0	
Stape et al., 2010	Brazil	Teixeira de. Freitas, BA	reported site	-18.0333333333	-39.8666666667	84.0	23.1	2921.0	21.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-12	2009		5.7	6.0		21.5	ton DM/ha/yr	0.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	510.0	219.0	409.0	229.0		5.0	
Stape et al., 2010	Brazil	Teixeira de. Freitas, BA	reported site	-18.0333333333	-39.8666666667	84.0	23.1	2921.0	21.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-12	2009		5.7	6.0		26.4	ton DM/ha/yr	0.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1715	yes	yes	total in the 6-year rotation	510.0	219.0	409.0	229.0		5.0	
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		11.3	ton DM/ha/yr	1.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	no								
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		15.9	ton DM/ha/yr	0.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	14.0	14.0	109.0	240.0	24.0		
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		16.4	ton DM/ha/yr	0.4	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	724.0	284.0	669.0	776.0	60.0		
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		21.7	ton DM/ha/yr	0.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1045	yes	yes	total in the 6-year rotation	14.0	14.0	109.0	240.0	24.0		
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.0	3063.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2000-3	2009		2.8	6.0		25.4	ton DM/ha/yr	0.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1045	yes	yes	total in the 6-year rotation	724.0	284.0	669.0	776.0	60.0		
Stape et al., 2010	Brazil	Eunapolis, BA	reported site	-16.35	-39.5666666667	187.0	23.0	3114.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		29.7	ton DM/ha/yr	1.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	12.0	46.0	18.0	62.0			
Stape et al., 2010	Brazil	Eunapolis, BA	reported site	-16.35	-39.5666666667	187.0	23.0	3114.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		31.7	ton DM/ha/yr	4.1	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	1012.0	374.0	797.0	1074.0	180.0	5.0	
Stape et al., 2010	Brazil	Eunapolis, BA	reported site	-16.35	-39.5666666667	187.0	23.0	3114.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		36.7	ton DM/ha/yr	1.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		846	yes	yes	total in the 6-year rotation	12.0	46.0	18.0	62.0			
Stape et al., 2010	Brazil	Eunapolis, BA	reported site	-16.35	-39.5666666667	187.0	23.0	3114.0	37.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2001-3	2009		6.0	6.0		35.8	ton DM/ha/yr	1.0	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		846	yes	yes	total in the 6-year rotation	1012.0	374.0	797.0	1074.0	180.0	5.0	
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.7	2949.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2003-8	2009		4.8	6.0		14.4	ton DM/ha/yr	3.0	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	no								
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.7	2949.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2003-8	2009		4.8	6.0		24.0	ton DM/ha/yr	1.5	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	21.0	33.0	136.0	396.0	72.0	2.0	
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.7	2949.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2003-8	2009		4.8	6.0		24.0	ton DM/ha/yr	3.2	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	594.0	240.0	546.0	620.0	120.0	2.0	
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.7	2949.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2003-8	2009		4.8	6.0		31.7	ton DM/ha/yr	1.9	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		440	yes	yes	total in the 6-year rotation	21.0	33.0	136.0	396.0	72.0	2.0	
Stape et al., 2010	Brazil	Luis Antonio, SP	reported site	-21.5333333333	-48.3666666667	680.0	22.7	2949.0	28.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2003-8	2009		4.8	6.0		28.0	ton DM/ha/yr	3.7	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		440	yes	yes	total in the 6-year rotation	594.0	240.0	546.0	620.0	120.0	2.0	
Stape et al., 2010	Brazil	Bocaiuva, MG	reported site	-17.3333333333	-43.8333333333	900.0	23.6	3474.0	48.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2005-2	2009		4.5	6.0		20.8	ton DM/ha/yr	1.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	79.0	55.0	66.0	280.0	60.0	6.0	
Stape et al., 2010	Brazil	Bocaiuva, MG	reported site	-17.3333333333	-43.8333333333	900.0	23.6	3474.0	48.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2005-2	2009		4.5	6.0		24.0	ton DM/ha/yr	2.0	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported			no	yes	total in the 6-year rotation	444.0	160.0	369.0	280.0	60.0	8.0	
Stape et al., 2010	Brazil	Bocaiuva, MG	reported site	-17.3333333333	-43.8333333333	900.0	23.6	3474.0	48.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2005-2	2009		4.5	6.0		37.3	ton DM/ha/yr	2.6	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1554	yes	yes	total in the 6-year rotation	79.0	55.0	66.0	280.0	60.0	6.0	
Stape et al., 2010	Brazil	Bocaiuva, MG	reported site	-17.3333333333	-43.8333333333	900.0	23.6	3474.0	48.0	experimental trial	30 m x 30 m each plot	Eucalyptus			2005-2	2009		4.5	6.0		38.0	ton DM/ha/yr	2.3	SE	annual increments of stem wood	part of aboveground	dried, weighted, allometric equation	directly reported		1554	yes	yes	total in the 6-year rotation	444.0	160.0	369.0	280.0	60.0	8.0	
Dowell et al., 2009	United States	Missouri river floodplain at the University of Missouri's Horticulture and Agroforestry Research Center, New Franklin, MO	reported site	39.0	-92.8		22.41	564.5		experimental trial	7 m x 10 m each plot	Poplar	Populus deltoides x Populus nigra	Populus deltoides x Populus nigra hybrid 145/51	1999	2004		5.0			6.382	ton DM/ha/yr			total biomass adjusted for survival, root+shoot	aboveground and belowground	dried, weighted, allometric equation	averaged by Age		periodic irrigation for the 1st season 0f 1999		no								
Dowell et al., 2009	United States	Missouri river floodplain at the University of Missouri's Horticulture and Agroforestry Research Center, New Franklin, MO	reported site	39.0	-92.8		22.41	564.5		experimental trial	7 m x 10 m each plot	Poplar	Populus deltoides x Populus nigra	Populus deltoides x Populus nigra hybrid 145/51	1999	2004		5.0			6.79	ton DM/ha/yr			total biomass adjusted for survival, root+shoot	aboveground and belowground	dried, weighted, allometric equation	averaged by Age		periodic irrigation for the 1st season 0f 1999		no								
Dowell et al., 2009	United States	Missouri river floodplain at the University of Missouri's Horticulture and Agroforestry Research Center, New Franklin, MO	reported site	39.0	-92.8		22.41	564.5		experimental trial	7 m x 10 m each plot	Poplar	Populus deltoides	Populus deltoides 26C6R51	1999	2004		5.0			12.89	ton DM/ha/yr			total biomass adjusted for survival, root+shoot	aboveground and belowground	dried, weighted, allometric equation	averaged by Age		periodic irrigation for the 1st season 0f 1999		no								
Dowell et al., 2009	United States	Missouri river floodplain at the University of Missouri's Horticulture and Agroforestry Research Center, New Franklin, MO	reported site	39.0	-92.8		22.41	564.5		experimental trial	7 m x 10 m each plot	Poplar	Populus deltoides	Populus deltoides 2059	1999	2004		5.0			12.556	ton DM/ha/yr			total biomass adjusted for survival, root+shoot	aboveground and belowground	dried, weighted, allometric equation	averaged by Age		periodic irrigation for the 1st season 0f 1999		no								
Dowell et al., 2009	United States	Missouri river floodplain at the University of Missouri's Horticulture and Agroforestry Research Center, New Franklin, MO	reported site	39.0	-92.8		22.41	564.5		experimental trial	7 m x 10 m each plot	Poplar	Populus deltoides	Populus deltoides 1112	1999	2004		5.0			10.728	ton DM/ha/yr			total biomass adjusted for survival, root+shoot	aboveground and belowground	dried, weighted, allometric equation	averaged by Age		periodic irrigation for the 1st season 0f 1999		no								
Clifton-Brown et al., 2004; Lewandowski el al., 2003	Sweden		reported site	56.0	14.0					experimental trial		Miscanthus	Miscanthus x giganteus			1999	late winter/early spring				13.1	ton DM/ha/yr			aboveground, 5cm	aboveground	dried, weighted	directly reported												
Clifton-Brown et al., 2004; Lewandowski el al., 2003	Denmark		reported site	56.5	9.6					experimental trial		Miscanthus	Miscanthus x giganteus			1999	late winter/early spring				9.7	ton DM/ha/yr			aboveground, 5cm	aboveground	dried, weighted	directly reported												
Clifton-Brown et al., 2004; Lewandowski el al., 2003	United Kingdom		reported site	51.8	-0.4					experimental trial		Miscanthus	Miscanthus x giganteus			1999	late winter/early spring				12.4	ton DM/ha/yr			aboveground, 5cm	aboveground	dried, weighted	directly reported												
Clifton-Brown et al., 2004; Lewandowski el al., 2003	Germany		reported site	48.7	9.0					experimental trial		Miscanthus	Miscanthus x giganteus			1999	late winter/early spring				19.9	ton DM/ha/yr			aboveground, 5cm	aboveground	dried, weighted	directly reported												
Clifton-Brown et al., 2004; Lewandowski el al., 2003	Portugal		reported site	38.7166666667	-9.21666666667					experimental trial		Miscanthus	Miscanthus x giganteus			1999	late winter/early spring				26.0	ton DM/ha/yr			aboveground, 5cm	aboveground	dried, weighted	directly reported	Irrigation (4.4 * rainfall)	496	yes									
Beale and Long, 1995	United Kingdom	Writtle College farm, Essex	reported site	51.7	0.4	35.0				experimental trial	6 m x 8 m each plot	Miscanthus	Miscanthus x giganteus		1992	1993	Feb			40000.0	8.3	ton DM/ha/yr	0.2	SE	aboveground	aboveground	dried, weighted	directly reported		133	yes	yes	one-time	40.0	17.456	44.8254				
Beale and Long, 1995	United Kingdom	Writtle College farm, Essex	reported site	51.7	0.4	35.0				experimental trial	6 m x 8 m each plot	Miscanthus	Miscanthus x giganteus		1992	1994	Feb			40000.0	19.7	ton DM/ha/yr	1.2	SE	aboveground	aboveground	dried, weighted	directly reported		133	yes	yes	one-time	120.0	52.368	99.612				
Kahle et al., 2001	Germany	Klein Markow	reported site	53.9	12.6		7.9	547.0	10.0	experimental trial	45 m2 each plot	Miscanthus	Miscanthus x giganteus	Miscanthus x giganteus Greef et Deu.	1994	1999	Feb	6.5			10.3666666667	ton DM/ha/yr			aboveground, harvested biomass	aboveground	dried, weighted	directly reported				yes	annual	50.0						
Kahle et al., 2001	Germany	Boitzenhagen	reported site	52.6	10.8		8.8	600.0	3.0	experimental trial	300 m2 each plot	Miscanthus	Miscanthus x giganteus	Miscanthus x giganteus Greef et Deu.	1994	1999	Feb	6.0			11.2666666667	ton DM/ha/yr			aboveground, harvested biomass	aboveground	dried, weighted	directly reported				yes	annual	50.0						
Kahle et al., 2001	Germany	Gunterslebenl	reported site	49.9	9.9		9.5	603.0	24.0	experimental trial	87 m2 each plot	Miscanthus	Miscanthus x giganteus	Miscanthus x giganteus Greef et Deu.	1994	1999	Feb	7.0			17.6666666667	ton DM/ha/yr			aboveground, harvested biomass	aboveground	dried, weighted	directly reported				yes	annual	50.0						
Kahle et al., 2001	Germany	Gunterslebenl	reported site	49.9	9.9		9.5	603.0	40.0	experimental trial	87 m2 each plot	Miscanthus	Miscanthus x giganteus	Miscanthus x giganteus Greef et Deu.	1994	1999	Feb	7.0			7.4	ton DM/ha/yr			aboveground, harvested biomass	aboveground	dried, weighted	directly reported				yes	annual	50.0						
Lewandowski and Heinz, 2003	Germany	Gutenzel, Upper Swabia	reported site	48.0	10.0	540.0	8.05	897.0		experimental trial	3 m x 4 m each plot	Miscanthus	Miscanthus x giganteus		1992-1993	1994-1996	Dec-Mar			20000.0	20.0	ton DM/ha/yr			aboveground biomass	aboveground	dried, weighted	directly reported		only first year	no	yes	one-time	0.0	22.0	166.0				
Lewandowski el al., 2003	Germany	Durmersheim, Upper Rhine Valley	reported site	49.0	8.1					experimental trial	3 m x 4 m each plot	Miscanthus					winter			20000.0	17.0	ton DM/ha/yr			aboveground biomass	aboveground	dried, weighted	directly reported												
van der Werf et al., 1993	Netherlands	ter Apel	reported site	52.9	7.1						12.5 m x 70 m	Miscanthus	Miscanthus sinensis	Miscanthus sinensis cv. 'Giganteus'	1988	1991	Oct	3.0			21.8	ton DM/ha/yr			aboveground biomass	aboveground	dried, weighted	directly reported												
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		1999	1999	Nov			10000.0	1.495	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				no		0.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		1999	1999	Nov			10000.0	1.573	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	50.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		1999	1999	Nov			10000.0	1.644	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	100.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		1999	1999	Nov			10000.0	1.508	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	150.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		1999	1999	Nov			10000.0	1.56	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	200.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2000	1999	Nov			10000.0	6.562	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				no		0.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2000	1999	Nov			10000.0	7.038	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	50.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2000	1999	Nov			10000.0	7.171	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	100.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2000	1999	Nov			10000.0	6.582	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	150.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2000	1999	Nov			10000.0	6.902	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	200.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2001	1999	Nov			10000.0	12.008	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				no		0.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2001	1999	Nov			10000.0	12.91	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	50.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2001	1999	Nov			10000.0	13.192	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	100.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2001	1999	Nov			10000.0	12.15	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	150.0						
Acaroğlu and Aksoy, 2005	Turkey	campus of Selcuk University in Konya	center of reported area	38.1666666667	33.2333333333		10.5	316.0	24.2	experimental trial		Miscanthus	Miscanthus x giganteus		2001	1999	Nov			10000.0	12.078	ton DM/ha/yr			harvest biomass	aboveground		unit conversion				yes	one-time	200.0						
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix alba		1987		after leaf fall		1.0	107600.0	6.6	ton DM/ha/yr	0.6	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	yes	annual	336.0	112.0	224.0				
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix alba	var. sanguinea	1987		after leaf fall		1.0	107600.0	10.3	ton DM/ha/yr	0.1	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	yes	annual	336.0	112.0	224.0				
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix x rubra		1987		after leaf fall		1.0	107600.0	6.1	ton DM/ha/yr	0.7	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	yes	annual	336.0	112.0	224.0				
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix purpurea		1987		after leaf fall		1.0	107600.0	9.8	ton DM/ha/yr	0.4	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	yes	annual	336.0	112.0	224.0				
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix dasyclados		1987		after leaf fall		1.0	107600.0	12.5	ton DM/ha/yr	0.4	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	yes	annual	336.0	112.0	224.0				
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Poplar	Populus nigra x Populus maximowiczii	"clones. ""Max-4"""	1987		after leaf fall		1.0	107600.0	9.7	ton DM/ha/yr	0.0	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	yes	annual	336.0	112.0	224.0				
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix alba		1987		after leaf fall		1.0	107600.0	4.6	ton DM/ha/yr	0.3	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	no								
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix alba	var. sanguinea	1987		after leaf fall		1.0	107600.0	7.5	ton DM/ha/yr	0.9	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	no								
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix x rubra		1987		after leaf fall		1.0	107600.0	4.5	ton DM/ha/yr	0.3	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	no								
Adegbidi et al., 2001	United States	Tully, New York	reported site	42.7833333333	-76.1166666667					experimental trial		Willow	Salix purpurea		1987		after leaf fall		1.0	107600.0	9.6	ton DM/ha/yr	0.3	SE	aboveground woody biomass production	aboveground	dried, weighted	directly reported		2-6 cm/week during growing season	yes	no								
